size,connectivity,num_steps,trial,mutation_rate,attractors
20,2,150,5,0.01,"[['  1    1    1  1   1', ' 11       11 1     1', '  1    1   1 11    1', ' 11       1 1 11   1']]"
20,2,150,6,0.01,[['1111 11      1   1  ']]
20,2,150,7,0.01,[['1  1 1   1  111 1   ']]
20,2,150,8,0.01,[['  1  111111      1 1']]
20,2,150,9,0.01,[['1 111  111     1 11 ']]
20,2,150,10,0.01,"[['11    1 1    1 11  1', ' 1   1       1 1   1']]"
20,2,150,11,0.01,[['11 1 111     111  1 ']]
20,2,150,12,0.01,[['    1  11 111  11111']]
20,2,150,13,0.01,"[[' 11     1     1  111', '111     1     1  1  ']]"
20,2,150,14,0.01,[[' 11 1        1111  1']]
20,2,150,15,0.01,"[['1     1   1    1  11', ' 1  1  11 11   1  1 ', ' 1   1 11 11 1    1 ', '     1 1  11 111  11']]"
20,2,150,16,0.01,"[['  1111      11111 1 ', '  1 111   1  1  111 ']]"
20,2,150,17,0.01,[['111 1 111    11     ']]
20,2,150,18,0.01,"[['11 111 11        1  ', '11  11  11  11 1   1', '111 1   1   11 1  11']]"
20,2,150,19,0.01,[['1   11   1    1 1 11']]
20,2,150,0,0.03,"[['1       11    11 111', '11   1   1 1  11  11']]"
20,2,150,1,0.03,"[['  111 1   11  1  1 1', '  1  1111 111 111  1', '11 11 1  11  1 1    ', '    11111 1111 111  ']]"
20,2,150,2,0.03,[[' 1 1111  11   1 11  ']]
20,2,150,3,0.03,"[[' 11   1111  1  1 1 1', '1 11   11   1  1 11 ', '1 11    1 11111   1 ', '  1  1  11  1 11 1 1']]"
20,2,150,4,0.03,[[' 1 1   1 11 1  1    ']]
20,2,150,5,0.03,"[['  1  11  11111111   ', '    1 11 11 1111    ']]"
20,2,150,6,0.03,"[['1 111 1 111  1    1 ', '  111    11  1      ', '1 111    11  1    1 ']]"
20,2,150,7,0.03,[['     1 1111  111 11 ']]
20,2,150,8,0.03,"[['1  111 1  11    11  ', ' 11 111  1  11  11  ', '    111  1  11  1  1']]"
20,2,150,9,0.03,"[['  1 1    1 1 1  1 1 ', ' 11 1  1   1  1 11  ', '  1 11 111111   111 ', '  1 11  11 11   111 ']]"
20,2,150,10,0.03,[[' 1 1  1    1 11     ']]
20,2,150,11,0.03,"[['   1     1 1   11 11', '1   1   111 11 1  11', '1   11   1   1    11', '1   1 1    1      11', '  11  1 1   11 11  1']]"
20,2,150,12,0.03,[['  11   11  1  1 1 1 ']]
20,2,150,13,0.03,[[' 1  1 1 111111 11 1 ']]
20,2,150,14,0.03,"[['  11       1 111111 ', '   1 1 11  1  11 11 ']]"
20,2,150,15,0.03,"[['1 1 1  111  1  1    ', '1  11  11111      11', '1 111  111  1 1     ', '1   1  11111  11  11']]"
20,2,150,16,0.03,"[['1 111    1 1 111 11 ', '1 1   1  1 1     111']]"
20,2,150,17,0.03,"[['   1111  1 11 1 1   ', '  11   111  1 1 1   ', '  1111 1  11  1 11  ', '      1 1 1   1 11  ']]"
20,2,150,18,0.03,[['1     11 111111 11 1']]
20,2,150,19,0.03,[['11       111  1   1 ']]
20,2,150,0,0.05,[['   1 1 1111 1 11    ']]
20,2,150,1,0.05,"[[' 1111  11 1 1 11 1 1', ' 1   1      1111  1 ']]"
20,2,150,2,0.05,"[[' 11111     1111  11 ', '1111111 1  111  11 1']]"
20,2,150,3,0.05,[['1  1 1  11111   1  1']]
20,2,150,4,0.05,[['111   1   11    1 1 ']]
20,2,150,5,0.05,"[['11 111 111 1 1 1111 ', '   1  11   111  111 ']]"
20,2,150,6,0.05,[['   11     11   1 1  ']]
20,2,150,7,0.05,[['11  1    111  1     ']]
20,2,150,8,0.05,[['    1  111  1   11 1']]
20,2,150,9,0.05,[['1111111 1   1 1    1']]
20,2,150,10,0.05,[[' 1 1  11   11    11 ']]
20,2,150,11,0.05,"[[' 1 1111      1  111 ', '  11 1    1 11 11   ']]"
20,2,150,12,0.05,"[['  1  1   11 111 1 1 ', ' 11  111 11 111 1 1 ']]"
20,2,150,13,0.05,"[[' 1111  11  11 1   1 ', ' 1 11  11   1 1   1 ', ' 1 11  11   1 1   1 ', ' 1 11  11   1 1   1 ', ' 1 11  11   1 1   1 ']]"
20,2,150,14,0.05,"[[' 1 11   11 11 1 1 11', '1  11   11 11 1 1  1']]"
20,2,150,15,0.05,[['1  1 1  1 1   1     ']]
20,2,150,16,0.05,[['1 1  11  1   11  111']]
20,2,150,17,0.05,"[[' 111      1   1 1   ', '1 11   1  11 1   1  ']]"
20,2,150,18,0.05,[['1   11 11  1 1 1 111']]
20,2,150,19,0.05,"[[' 11  1   1      1 1 ', ' 11  1 1 1      1 1 ', ' 11  1 1 1      1 1 ']]"
20,5,50,0,0.01,"[['1 1       1 1 1     ', '1 1  1    1 1 1   1 ', ' 11  1  1 1 1 1  11 ', '  1     1 1   1     ']]"
20,5,50,1,0.01,[['1 1111  111  1 11 11']]
20,5,50,2,0.01,[['  1 1  1   1 1 11 1 ']]
20,5,50,3,0.01,[[' 1 1 111  1  11 11  ']]
20,5,50,4,0.01,[['11   1 1111  1   1 1']]
20,5,50,0,0.03,"[[' 1 111 1 1  111 1   ', '  11 1 111  11111 1 ', ' 1 111 1 1 1111 1   ', ' 111 1 111  111 1 1 ', ' 111 1 111 1111 1 1 ', '  11 1 111 111111 1 ', '   111 1 1 111111   ']]"
20,5,50,1,0.03,[['    111111 111 1  1 ']]
20,5,50,2,0.03,[[' 11 1     1   11    ']]
20,5,50,3,0.03,"[[' 1 11   111  111 1  ', '  11 1 1  1  111 1  ', ' 1 1 11  11  11  1 1', '   1 1    1  111 1  ', '   11   1 1  111 1  ', ' 1 11  1111  111 1  ', ' 1 11 11111  11  1 1', '  111 111 1  11  1 1', ' 1 1 111 11  11  1 1', ' 1 11 1 111  11  1 1', ' 1 1 1 1 11  111 1  ', '   11 1 1 1  11  1 1', '  111  11 1  111 1  ', '  11 111  1  11  1 1', '   1 11   1  11  1 1']]"
20,5,50,4,0.03,"[['  1       1     11  ', '  1             11  ', '  1    1 1      11  ', '1  1   1 1 1    11  ', '1  1   1 111    11  ', '1  1      11    11  ']]"
